n,d2,d3,c4,A2,A3,B3,B4,D3,D4
2,1.1284,0.8525,0.7979,1.88,2.6587,0,3.2665,0,3.2665
3,1.6926,0.8884,0.8862,1.0233,1.9544,0,2.5682,0,2.5746
4,2.0588,0.8798,0.9213,0.7286,1.6281,0,2.266,0,2.2821
5,2.3259,0.8641,0.94,0.5768,1.4273,0,2.089,0,2.1145
6,2.5344,0.848,0.9515,0.4832,1.2871,0.0304,1.9696,0,2.0038
7,2.7044,0.8332,0.9594,0.4193,1.1819,0.1177,1.8823,0.0757,1.9243
8,2.8472,0.8198,0.965,0.3725,1.0991,0.1851,1.8149,0.1362,1.8638
9,2.97,0.8078,0.9693,0.3367,1.0317,0.2391,1.7609,0.184,1.816
10,3.0775,0.7971,0.9727,0.3083,0.9754,0.2837,1.7163,0.223,1.777
11,3.1729,0.7873,0.9754,0.2851,0.9274,0.3213,1.6787,0.2556,1.7444
12,3.2585,0.7785,0.9776,0.2658,0.8859,0.3535,1.6465,0.2833,1.7167
13,3.336,0.7704,0.9794,0.2494,0.8495,0.3816,1.6184,0.3072,1.6928
14,3.4068,0.763,0.981,0.2354,0.8173,0.4062,1.5938,0.3281,1.6719
15,3.4718,0.7562,0.9823,0.2231,0.7885,0.4282,1.5718,0.3466,1.6534
16,3.532,0.7499,0.9835,0.2123,0.7626,0.4479,1.5521,0.363,1.637
17,3.5879,0.7441,0.9845,0.2028,0.7391,0.4657,1.5343,0.3779,1.6221
18,3.6401,0.7386,0.9854,0.1943,0.7176,0.4818,1.5182,0.3913,1.6087
19,3.689,0.7335,0.9862,0.1866,0.6979,0.4966,1.5034,0.4035,1.5965
20,3.7349,0.7287,0.9869,0.1796,0.6797,0.5102,1.4898,0.4147,1.5853
21,3.7783,0.7242,0.9876,0.1733,0.6629,0.5228,1.4772,0.425,1.575
22,3.8194,0.7199,0.9882,0.1675,0.6473,0.5344,1.4656,0.4345,1.5655
23,3.8583,0.7159,0.9887,0.1621,0.6327,0.5452,1.4548,0.4434,1.5566
24,3.8953,0.7121,0.9892,0.1572,0.6191,0.5553,1.4447,0.4516,1.5484
25,3.9306,0.7084,0.9896,0.1526,0.6063,0.5648,1.4352,0.4593,1.5407
26,3.9643,0.705,0.9901,0.1484,0.5943,0.5737,1.4263,0.4665,1.5335
27,3.9965,0.7017,0.9904,0.1445,0.5829,0.582,1.418,0.4733,1.5267
28,4.0274,0.6986,0.9908,0.1408,0.5722,0.5899,1.4101,0.4797,1.5203
29,4.057,0.6955,0.9911,0.1373,0.5621,0.5974,1.4026,0.4857,1.5143
30,4.0855,0.6927,0.9914,0.1341,0.5525,0.6044,1.3956,0.4914,1.5086